id,date,pair,direction,entry,exit,positionSize,result,rr,ruleViolation,notes
TR-001,2025-01-15,EUR/USD,long,1.08567,1.08923,0.10,35.60,1.8,,Pullback trade during London session
TR-002,2025-01-15,GBP/USD,short,1.26345,1.26012,0.15,-49.95,1.2,Late Entry,Breakout failure during NY session
TR-003,2025-01-16,USD/JPY,long,148.234,148.567,0.20,66.60,2.1,,Reversal trade during Tokyo session
TR-004,2025-01-16,AUD/USD,short,0.65432,0.65211,0.25,-55.25,0.9,,Scalp trade gone wrong
TR-005,2025-01-17,EUR/GBP,long,0.85432,0.85987,0.12,66.60,1.5,,Swing trade during London/NY overlap
TR-006,2025-01-17,USD/CAD,short,1.35678,1.35345,0.18,28.90,1.6,Moved Stop Loss,Quick profit on oil news
TR-007,2025-01-18,NZD/USD,long,0.61234,0.61890,0.22,72.30,2.2,,Breakout with strong momentum
TR-008,2025-01-18,EUR/JPY,short,145.678,145.234,0.15,-38.45,1.1,Early Exit,Market turned against position
TR-009,2025-01-19,GBP/JPY,long,180.234,181.567,0.25,125.80,1.9,,Trend continuation with confirmation
TR-010,2025-01-19,AUD/CAD,short,0.89678,0.89234,0.20,-32.10,1.3,,Range trading at resistance level
TR-011,2025-01-20,USD/CHF,long,0.91234,0.91890,0.17,45.60,1.7,Partial Position,Scale in on support level
